id,date,focal,tday,cond,dayofcond,observer,weather,ctpos,numct,sexct,ctfeed,ctenrich,ctclean,ctint,start,finish,enrich,enrichtime,timetoenrich,feeding,timetofeed,clean,cleant,timetoclean,xtraint,pxtraint,sep,patatsmed,foodgrunt,grunt,lipsmack,pbaboon,phuman,hgroomct,hgroomd,bgroomct,bgroomd,ghgroomct,ghgroomd,gbgroomct,gbgroomd,penisd,playb,plays,manenrichct,manenrichd,embraceh,embraceb,dproxct,dproxout,movetoobs,playvocal,iproxct,iproxout,threatg,bark,headshake,yawn,aggb,pace,aggdisp,teeth,rubgen,sway,turn,scream,sgroomct,sgroomd,eatct,eatd,drink,foragect,foraged,restct,restd,schratch,other ,comment
stevie,29/04,1,1,1,1,j,cloudy/windy,s,1,m,ms,ms,,,10:10:00 AM,10:30:00 AM,icei,2:20:00 PM,b,11:40:00 AM,b,no,,,no,,,,8,10,0,,0,,,1,100,,,0,0,2,0,0,0,0,,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,,0,0,1,436,0,3,59,4,698,10,0,
stevie,29/04,2,1,1,1,j,sunny/windy,s,1,m,ms,ms,,,2:10:00 PM,2:30:00 PM,icei,2:20:00 PM,d,11:40:00 AM,a,no,,,no,,,,0,0,0,,0,,,0,0,,,0,0,0,0,4,2,38,,0,1,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,
stevie,29/04,3,1,1,1,j,cloudy/windy,s,1,m,ms,ms,,,3:58:00 PM,4:18:00 PM,icei,2:20:00 PM,a,11:40:00 AM,a,no,,,,,,,0,5,1,,0,,,3,127,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,,0,0,0,0,0,0,0,3,923,6,0,
ayana,29/04,1,1,1,1,j,cloudy/windy,s,1,m,ms,ms,,,10:35:00 AM,10:55:00 AM,wirecage,2:30:00 PM,b,11:32:00 AM,b,no,,,,,no,,0,42,8,3,0,,,0,0,,,2,253,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,,0,0,1,40,0,0,0,12,478,11,0,
ayana,29/04,2,1,1,1,j,cloudy/windy,s,1,m,ms,ms,,,3:10:00 PM,3:30:00 PM,wirecage,2:30:00 PM,a,11:32:00 AM,a,no,,,,,no,,0,108,15,10,0,,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,1,9,7,258,0,10,123,13,749,4,0,
ayana,29/04,3,1,1,1,j,cloudy/windy,s,1,m,ms,ms,,,4:22:00 PM,4:42:00 PM,wirecage,2:30:00 PM,a,11:32:00 AM,a,no,,,,,no,,0,0,0,0,0,,,2,727,,,4,448,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1,10,1,22,2,0,
patats,29/04,1,1,1,1,j,sunny/windy,s,1,m,ms,ms,,,1:00:00 PM,1:20:00 PM,wirecage,2:25:00 PM,b,11:45:00 AM,a,no,,,,,,b,0,0,1,0,0,,,3,110,,,4,316,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,6,557,0,4,92,2,69,6,0,
patats,29/04,2,1,1,1,j,sunny/windy,s,1,m,ms,ms,,,2:40:00 PM,3:00:00 PM,wirecage,2:25:00 PM,a,11:45:00 AM,a,no,,,,,,b,0,1,1,0,0,,,0,0,,,0,0,,0,0,5,493,,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,,0,0,,0,0,1,433,2,4,99,1,64,10,0,
patats,29/04,3,1,1,1,j,cloudy/windy,s,1,m,ms,ms,,,3:35:00 PM,3:55:00 PM,wirecage,2:25:00 PM,a,11:45:00 AM,a,no,,,,,,b,0,12,6,0,1,,,0,0,,,0,0,,0,0,0,0,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,0,0,,6,372,1,89,0,0,0,6,695,18,0,
hope ,29/04,1,1,1,1,j,cloudy/windy,s,1,m,ms,ms,,,1:23:00 PM,1:43:00 PM,wirecage,2:30:00 PM,b,11:32:00 AM,a,no,,,,,yes,,0,25,11,0,0,,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,2,1088,5,0,
